setting,pair_seed,alpha,train_loss,train_acc,test_loss,test_acc
A,0,0.0,0.055480458402633666,0.9808000004768371,0.34219489030838013,0.8997000005722046
A,0,0.1,0.0542868232190609,0.9820000004768371,0.34346616950035097,0.899700000667572
A,0,0.2,0.055532667988538745,0.9800000003814697,0.34670595417022704,0.8981000003814698
A,0,0.3,0.054968001687526705,0.9808000004768371,0.34265775408744814,0.8991000005722046
A,0,0.4,0.054369914650917055,0.980400000667572,0.3464809592247009,0.8986000005722046
A,0,0.5,0.05484525722265243,0.9806000005722046,0.3417944324970245,0.8992000005722046
A,0,0.6,0.05413122555613518,0.982000000667572,0.34152648596763613,0.8996000004768372
A,0,0.7,0.05561577343940735,0.9812000005722046,0.34370914025306704,0.8988000004768372
A,0,0.8,0.05627829083204269,0.9800000005722046,0.3431396549701691,0.8989000004768372
A,0,0.9,0.05574004102945328,0.9806000004768372,0.34548433818817137,0.8987000004768372
A,0,1.0,0.05468017011880875,0.9812000004768372,0.34690664348602296,0.8987000005722046
